year,round,weather,weatherWarm,weatherCold,weatherDry,weatherWet,weatherCloudy
1964,10,not found,0,0,0,0,0
1963,1,"Warm, dry and sunny",1,0,1,0,0
1963,2,Wet and overcast,0,0,0,1,1
1963,3,Sunny,1,0,0,0,0
1963,4,"Sunny, then rain",1,0,0,1,0
1963,5,"Warm, dry and sunny",1,0,1,0,0
1963,6,"Warm, dry and sunny, 21C.",1,0,1,0,0
1963,7,"Warm, dry and sunny",1,0,1,0,0
1963,8,Sunny,1,0,0,0,0
1963,9,"Overcast, dry",0,0,1,0,1
1963,10,"Hot, dry and windy",1,0,1,0,0
1962,1,Sunny,1,0,0,0,0
1962,2,Cloudy,0,0,0,0,1
1962,3,Sunny,1,0,0,0,0
1962,4,Sunny,1,0,0,0,0
1962,5,Sunny,1,0,0,0,0
1962,6,Heavy rain showers,0,0,0,1,0
1962,7,"Dry, with rain later",0,0,1,1,0
1962,8,Sunny,1,0,0,0,0
1962,9,"Dry, windy",0,0,1,0,0
1961,1,Sunny,1,0,0,0,0
1961,2,Sunny,1,0,0,0,0
1961,3,Sunny,1,0,0,0,0
1961,4,Sunny,1,0,0,0,0
1961,5,"Torrential rain, drying later",0,0,1,1,0
1961,6,Wet,0,0,0,1,0
1961,7,Sunny,1,0,0,0,0
1961,8,Temperatures up to 22 °C (72 °F);Wind speeds up to 16.48 km/h (10.24 mph)[1],0,0,0,0,0
1960,1,Dry,0,0,1,0,0
1960,2,not found,0,0,0,0,0
1960,3,not found,0,0,0,0,0
1960,4,not found,0,0,0,0,0
1960,5,not found,0,0,0,0,0
1960,6,Dry,0,0,1,0,0
1960,7,"Dry, overcast.",0,0,1,0,1
1960,8,not found,0,0,0,0,0
1960,9,"Warm, dry",1,0,1,0,0
1960,10,Temperatures up to 24.4 °C (75.9 °F);Wind speeds up to 18.33 km/h (11.39 mph)[1],0,0,0,0,0
1959,1,"Hot, clear",1,0,0,0,0
1959,2,not found,0,0,0,0,0
1959,3,Sunny,1,0,0,0,0
1959,4,"Hot, dry",1,0,1,0,0
1959,5,Dry and sunny.,1,0,1,0,0
1959,6,Dry and dull.,0,0,1,0,0
1959,7,Hot and clear.,1,0,0,0,0
1959,8,Dry and sunny,1,0,1,0,0
1959,9,Sunny with temperatures reaching up to 25 °C (77 °F);Winds speeds up to 25.93 km/h (16.11 mph)[1],1,0,0,0,0
1958,1,not found,0,0,0,0,0
1958,2,not found,0,0,0,0,0
1958,3,not found,0,0,0,0,0
1958,4,not found,0,0,0,0,0
1958,5,"Hot, dry",1,0,1,0,0
1958,6,not found,0,0,0,0,0
1958,7,not found,0,0,0,0,0
1958,8,not found,0,0,0,0,0
1958,9,not found,0,0,0,0,0
1958,10,not found,0,0,0,0,0
1958,11,"Warm, dry, sunny",1,0,1,0,0
1957,1,not found,0,0,0,0,0
1957,2,not found,0,0,0,0,0
1957,3,not found,0,0,0,0,0
1957,4,not found,0,0,0,0,0
1957,5,"Overcast, dry.",0,0,1,0,1
1957,6,not found,0,0,0,0,0
1957,7,"Sunny, very hot, dry",1,0,1,0,0
1957,8,not found,0,0,0,0,0
1956,1,Overcast but dry,0,0,1,0,1
1956,2,"Warm, dry, sunny",1,0,1,0,0
1956,3,not found,0,0,0,0,0
1956,4,"Wet and overcast, later drying",0,0,1,1,1
1956,5,not found,0,0,0,0,0
1956,6,"Overcast, dry",0,0,1,0,1
1956,7,not found,0,0,0,0,0
1956,8,"Cloudy, warm, alternating light rain",1,0,0,1,1
1955,1,Very hot and dry,1,0,1,0,0
1955,2,not found,0,0,0,0,0
1955,3,not found,0,0,0,0,0
1955,4,not found,0,0,0,0,0
1955,5,Drizzly,0,0,0,0,0
1955,6,"Hot, dry.[1]",1,0,1,0,0
1955,7,not found,0,0,0,0,0
1954,1,"Overcast, wet",0,0,0,1,1
1954,2,not found,0,0,0,0,0
1954,3,"Sunny, mild, dry",1,0,1,0,0
1954,4,"Overcast, wet",0,0,0,1,1
1954,5,"Cold, wet (heavy rain).[1]",0,1,0,1,0
1954,6,"Sunny, dry",1,0,1,0,0
1954,7,Rain,0,0,0,1,0
1954,8,"Sunny, mild, dry",1,0,1,0,0
1954,9,"Sunny, mild, dry",1,0,1,0,0
1953,1,"Hot, dry",1,0,1,0,0
1953,2,not found,0,0,0,0,0
1953,3,"Sunny, mild, dry",1,0,1,0,0
1953,4,"Hot, dry",1,0,1,0,0
1953,5,"Hot, dry",1,0,1,0,0
1953,6,"Overcast, showers",0,0,0,1,1
1953,7,"Sunny, mild, dry",1,0,1,0,0
1953,8,"Sunny, mild, dry",1,0,1,0,0
1953,9,"Sunny, mild, dry",1,0,1,0,0
1952,1,Sunny,1,0,0,0,0
1952,2,not found,0,0,0,0,0
1952,3,Rain,0,0,0,1,0
1952,4,Rain,0,0,0,1,0
1952,5,"Overcast, dry.",0,0,1,0,1
1952,6,Sunny,1,0,0,0,0
1952,7,Rainy,0,0,0,1,0
1952,8,Sunny,1,0,0,0,0
1951,1,"Overcast, rain",0,0,0,1,1
1951,2,not found,0,0,0,0,0
1951,3,"Sunny, Mild, Dry",1,0,1,0,0
1951,4,"Sunny, Hot, Dry",1,0,1,0,0
1951,5,"Mild, Dry",1,0,1,0,0
1951,6,"Sunny, Mild, Dry",1,0,1,0,0
1951,7,Warm and sunny,1,0,0,0,0
1951,8,"Hot, Dry",1,0,1,0,0
1950,1,"Sunny, mild, dry.",1,0,1,0,0
1950,2,not found,0,0,0,0,0
1950,3,not found,0,0,0,0,0
1950,4,"Warm, dry and sunny",1,0,1,0,0
1950,5,"Warm, dry and sunny",1,0,1,0,0
1950,6,Hot and sunny,1,0,0,0,0
1950,7,"Warm, hot and sunny",1,0,0,0,0
2011,1,"Sunny, 18°C",1,0,0,0,0
